booking_id,months_as_member,weight,days_before,day_of_week,time,category,attended
0001,17,79.56,8,Wed,PM,Strength,-0
0002,10,79.01,2,Mon,AM,HIIT,0
0003,16,74.53,14,Sun,AM,Strength,0
0004,5,86.12,10,Fri,AM,Cycling,-0
0005,15,69.29,8,Thu,AM,HIIT,0
0006,7,93.33,2,Mon,AM,Cycling,-0
0007,11,88.59,6,Wednesday,PM,HIIT,0
0008,9,89.52,10,Fri,AM,HIIT,-0
0009,23,71.12,10,Fri.,AM,HIIT,1
0010,7,81.25,10,Fri,AM,HIIT,0
0011,13,73.22,4,Tue,AM,Cycling,0
0012,16,86.86,10,Fri,AM,Cycling,0
0013,16,71.7,14,Sun,AM,Strength,1
0014,8,81.32,4,Tue,AM,Cycling,0
0015,9,77.35,10,Fri,AM,Cycling,-0
0016,9,82.42,14,Sun,AM,HIIT,1
0017,22,69.52,14,Sun,AM,Strength,1
0018,6,79.01,9,Thu,PM,Yoga,-0
0019,33,81.55,8,Thu,AM,Cycling,1
0020,10,72.93,4,Tue,AM,Cycling,1
0021,24,68.35,12,Sat,PM,Strength,1
0022,14,94.72,2,Mon,AM,Cycling,1
0023,2,92.87,10,Fri,AM,Strength,-0
0024,12,91.74,10,Fri,AM,Strength,0
0025,8,92.24,2,Mon,AM,Strength,0
0026,2,85.67,2,Mon,AM,HIIT,-0
0027,12,76.56,2,Mon,AM,HIIT,1
0028,26,82.87,4,Tue,PM,HIIT,0
0029,28,87.19,2,Mon,AM,Strength,1
0030,27,98.91,12,Sat,AM,Yoga,1
0031,8,79.96,4,Tue,AM,HIIT,1
0032,8,84.87,2,Mon,AM,Strength,-0
0033,1,88.75,4,Tue,AM,Cycling,-0
0034,6,86.67,10,Fri,AM,Yoga,0
0035,3,81.58,10,Fri,AM,HIIT,-0
0036,6,83.13,9,Thu,PM,Cycling,0
0037,24,73.49,4,Tue,AM,Strength,1
0038,8,79.36,12,Sat,AM,HIIT,-0
0039,27,78.81,10,Fri,AM,HIIT,1
0040,7,97.26,10,Fri,AM,HIIT,0
0041,5,93.33,14,Sun,AM,HIIT,-0
0042,14,83.16,10,Thu,PM,Strength,-0
0043,7,90,14,Sun,PM,Cycling,0
0044,9,112.15,10,Fri,AM,HIIT,0
0045,6,108.2,8,Wed,PM,Strength,0
0046,5,104.19,2,Mon,AM,HIIT,0
0047,21,67.81,4,Tue,PM,HIIT,0
0048,17,81.98,2,Mon,AM,HIIT,-0
